WKT,醫療院所,縣市,鄉鎮市區,地址,電話,lat,lon
POINT (121.549710619579 25.0365517298863),中山醫療社團法人中山醫院,臺北市,大安區,仁愛路四段112巷11號,02-27081166,25.0365517298863,121.549710619579
POINT (121.54732973423 25.0418648698054),中心診所醫療財團法人中心綜合醫院,臺北市,大安區,忠孝東路四段77號,0227510221,25.0418648698054,121.54732973423
POINT (121.608779201531 25.0759516267354),康寧醫療財團法人康寧醫院,臺北市,內湖區,成功路五段420巷26號,26345500,25.0759516267354,121.608779201531
POINT (121.544298935233 25.0215746476463),臺北市立聯合醫院附設大安門診部,臺北市,大安區,辛亥路3段15號,27390997,25.0215746476463,121.544298935233
POINT (121.518557932476 25.0407757438798),國立台灣大學醫學院附設醫院,臺北市,中正區,中山南路7、8號；常德街1號,02 23123456,25.0407757438798,121.518557932476
POINT (121.582885520361 25.0386162229933),臺北市立聯合醫院附設信義門診部,臺北市,信義區,大道路116號1樓、2樓,0227234598,25.0386162229933,121.582885520361
POINT (121.466166200185 25.1203222003314),臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市,北投區,知行路二二五巷十二號,28587000,25.1203222003314,121.466166200185
POINT (121.503705912168 25.1375847448314),臺北市北投健康管理醫院,臺北市,北投區,中和街2號,02-28988686,25.1375847448314,121.503705912168
POINT (121.552801422171 25.0371784753678),國泰醫療財團法人國泰綜合醫院,臺北市,大安區,仁愛路四段266巷6號280號,0227082121,25.0371784753678,121.552801422171
POINT (121.516340616465 25.0658154163796),臺北市立聯合醫院附設大同門診部,臺北市,大同區,昌吉街52號(1樓及2樓),02-25948971,25.0658154163796,121.516340616465
POINT (121.508887357965 25.0506924386088),臺北市立聯合醫院,臺北市,大同區,鄭州路145號,25523234,25.0506924386088,121.508887357965
POINT (121.543916429269 25.0144958654744),國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市,大安區,基隆路3段155巷57號,02-23220322,25.0144958654744,121.543916429269
POINT (121.606757993839 25.0545294398263),臺北市立聯合醫院附設南港門診部,臺北市,南港區,南港路1段360號1樓,0227868782,25.0545294398263,121.606757993839
POINT (121.522557955654 25.0588842239915),台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市,中山區,中山北路2段92號,02-25433535,25.0588842239915,121.522557955654
POINT (121.577311010687 25.0496681121998),臺北市立聯合醫院附設松山門診部,臺北市,松山區,八德路4段694號(1樓),0227671757,25.0496681121998,121.577311010687
POINT (121.557704535347 25.0539401578496),三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,健康路131號,0227462151,25.0539401578496,121.557704535347
POINT (121.557695633929 25.0500596457513),博仁綜合醫院,臺北市,松山區,光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,0225786677,25.0500596457513,121.557695633929
POINT (121.568282124954 25.0494005891982),培靈醫院,臺北市,松山區,八德路四段355號,0227606116,25.0494005891982,121.568282124954
POINT (121.547277101228 25.0480531346288),基督復臨安息日會醫療財團法人臺安醫院,臺北市,松山區,八德路二段424426號,0227718151,25.0480531346288,121.547277101228
POINT (121.558330279011 25.0003062788525),臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市,文山區,興隆路三段111號,0229307930,25.0003062788525,121.558330279011
POINT (121.576522740087 24.987619614761),臺北市立聯合醫院附設政大門診部,臺北市,文山區,指南路二段117號,0222343501,24.987619614761,121.576522740087
POINT (121.556862326733 25.0431121697035),秀傳醫院,臺北市,大安區,光復南路116巷1、3、5號1至4樓及地下1樓,27717172,25.0431121697035,121.556862326733
POINT (121.575335163783 25.0802574016824),德威國際牙醫口腔醫院,臺北市,內湖區,內湖路一段659號1樓,02-27990123,25.0802574016824,121.575335163783
POINT (121.590665508381 25.0821773210448),中國醫藥大學附設醫院臺北分院,臺北市,內湖區,內湖路二段360號、362號,02-27919696,25.0821773210448,121.590665508381
POINT (121.497613305195 25.023176252978),臺北市立聯合醫院附設萬華門診部,臺北市,萬華區,東園街152號,23395383,25.023176252978,121.497613305195
POINT (121.498000230557 25.0368672169144),財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市,萬華區,廣州街200243號,0223021131,25.0368672169144,121.498000230557
POINT (121.509825871036 25.0240500601751),同仁院醫療財團法人萬華醫院,臺北市,萬華區,中華路二段606巷6號,0223059292,25.0240500601751,121.509825871036
POINT (121.515952170893 25.0304936436863),臺北市立聯合醫院附設中正門診部,臺北市,中正區,牯嶺街24號,02 23210168,25.0304936436863,121.515952170893
POINT (121.502407682966 25.1324849344839),臺北市立聯合醫院附設北投門診部,臺北市,北投區,新市街30號5樓,2891-2670,25.1324849344839,121.502407682966
POINT (121.522962626859 25.1208022552019),臺北榮民總醫院,臺北市,北投區,石牌路二段201號、322號,0228712121,25.1208022552019,121.522962626859
POINT (121.522400466281 25.1175425550789),振興醫療財團法人振興醫院,臺北市,北投區,振興街45號,0228264400,25.1175425550789,121.522400466281
POINT (121.4720113097 25.1283405454023),醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市,北投區,立德路125號,02-28970011,25.1283405454023,121.4720113097
POINT (121.56271085676 25.0266196319747),臺北醫學大學附設醫院,臺北市,信義區,吳興街252號、250號,0227372181,25.0266196319747,121.56271085676
POINT (121.522557955654 25.0588842239915),台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,中山北路二段92號,0225433535,25.0588842239915,121.522557955654
POINT (121.533501345497 25.0643947850029),臺北市立聯合醫院附設中山門診部,臺北市,中山區,松江路367號1樓,0225014614,25.0643947850029,121.533501345497
POINT (121.533943435633 25.0502733165176),協和婦女醫院,臺北市,中山區,松江路85巷5號1234樓、93巷6號124樓,0225072222,25.0502733165176,121.533943435633
POINT (121.531640671466 25.0614598529621),泰安醫院,臺北市,中山區,民權東路二段92巷2之1號(地下一樓至地上六樓),0225375633,25.0614598529621,121.531640671466
POINT (121.519697560985 25.09284539794),臺北市立聯合醫院附設士林門診部,臺北市,士林區,中正路439號,0228813039,25.09284539794,121.519697560985
POINT (121.494929734363 25.0276785444931),西園醫療社團法人西園醫院,臺北市,萬華區,西園路二段266、268、270、272、276號、185、187、189號,02-23329888,25.0276785444931,121.494929734363
POINT (121.518698237253 25.0287486873993),郵政醫院（委託中英醫療社團法人經營）,臺北市,中正區,福州街14號,02-23956755,25.0287486873993,121.518698237253
POINT (121.518750622339 25.0443431329928),國立臺灣大學醫學院附設醫院兒童醫院,臺北市,中正區,中山南路8號,23123456,25.0443431329928,121.518750622339
