編號,行政區,服務單位名稱,連絡人,電話,據點地址,開辦時間,lat,lon
1,北投區,臺北榮民總醫院失智治療及研究中心,張秀君,(02)2871-2121 #86764,臺北市北投區奇岩里16鄰三合街一段119號一樓,"周二至五上午,周一至周五下午",25.1263292,121.5039805
2,北投區,財團法人老五老基金會,黃芯梅,(02)2821-2959#24,臺北市北投區福興里石牌路一段14號,周一至周五下午,25.1126848,121.5097867
3,北投區,臺北市北投區林泉社區發展協會,易玉梅,(02)2895-2630,臺北市北投區新民路46巷37號,周一至周五全日,25.1390308,121.5075477
4,北投區,臺北市立關渡醫院委託臺北榮民總醫院經營,陳怡婷,(02)2858-7000#8201,台北市北投區關渡里知行路260巷28號1樓,周一至周五全日,25.1208535,121.4683369
5,士林區,臺北市立聯合醫院陽明院區神經內科,謝炘宜,2835-3456#5178,臺北市士林區聖山里忠義街92號1樓,周二、三、五全日,25.1064603,121.5321644
6,士林區,新康居家職能治療所(士林站),洪于婷,0911-505-217,台北市士林區名山里至誠路二段120巷1號,周一至週五全日,25.1014463,121.5268766
7,士林區,財團法人台北市中華基督教浸信會慈光堂,辛守仁,(02)2841-2290#17,台北市士林區翠山里中社路一段43巷5號,周一、三、五全日,25.1089472,121.5602616
8,士林區,財團法人臺北市華夏婦女文教基金會,潘沐萱,0978-383-663,台北市士林區岩山里至誠路一段62巷28號,周一、三、四全日,25.1023227,121.5359799
9,士林區,大心居家職能治療所(士林站),馮淑嫻,(02)2812-1740,臺北市士林區通河西街二段106號1樓,周一至周五全日,25.0926972,121.508088
10,士林區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,胡乃方,(02)2543-3535#2770,臺北市士林區福德里中正路335巷11號5樓(士林長老教會教育館),周一、二、五全日,25.094041,121.523254
11,內湖區,社團法人中華民國香柏樹長者社區關懷協會承辦臺北市內湖老人服務中心,蔡婉瑢,(02)26325560#12,臺北市內湖區東湖里康樂街110巷16弄20號5樓,周二、三、四全日,25.0704268,121.6183878
12,內湖區,財團法人台灣基督教恩惠福音會,鄭書芳,(02)2797-1000,台北市內湖區港墘里內湖路一段608號,周一、二、三、四全日,25.078379,121.5783952
13,內湖區,中華民國天使之家全人關懷協會,黃池麗子,(02)2790-9454,臺北市內湖區湖興里025鄰成功路二段242號1樓,周二至周五全日,25.065888,121.5900616
14,大同區,財團法人中華民國佛教慈濟慈善事業基金會(大同站),王渝,(02)4051-0777#6054,"臺北市大同區老師里14鄰,延平北路四段237號7樓",周一、二、三、四全日,25.07612,121.512106
15,大同區,社團法人寧祈全人健康生命關懷協會(大同站),云甄,(02)2521-3282,臺北市大同區延平里甘州街40號7樓(大稻埕教會),周一至五全日,25.0596045,121.5125161
16,大同區,大心居家職能治療所(大同站),吳俊璋,(02)2592-8780,台北市大同區承德路三段24巷38弄17號1樓,周一至周五全日,25.063838,121.5163387
17,大同區,臺北市立聯合醫院中興院區,謝芳郁,(02)2552-3234轉9,臺北市大同區玉泉里南京西路440號(暫定),周一至週五上午,25.0533405,121.5084395
18,中山區,天主教耕莘醫療財團法人永和耕莘醫院,鍾承翰,(02)2778-5153#101,臺北市中山區朱崙里龍江路15號4樓,周一至周五全日,25.0476293,121.5404867
19,中山區,臺北市中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心受託經營管理),胡雅芳,(02)2542-0006 #127,台北市中山區中原里新生北路2段101巷2號,周一至周五全日,25.057139,121.528395
20,中山區,新康居家職能治療所(中山站),洪子婷,0911-505217,台北市中山區松江路362巷65號,周一至週四下午,25.0620328,121.5310834
21,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,胡乃方,(02)2543-3535#2770,台北市中山區力行里遼寧街105巷37號,周一至周四全日,25.0512044,121.5431387
22,松山區,財團法人佳醫健康基金會(松山站),張綺鈺,(02)2225-8688#1352,臺北市松山區復勢里寧安街3巷3號1樓,周一至周五全日,25.0489743,121.5545199
23,松山區,社團法人台北市向日葵慈善協會,王建中,(02)8770-6501#20,台北市松山區東勢里南京東路四段133巷7弄7號一樓,"周二、三、五全日,週四上午",25.0525414,121.5554011
24,松山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,宋珮瑋,(02)2543-3535#2770,台北市松山區民有里敦化北路238巷9號1樓,周二至周四全日,25.0603395,121.5487517
25,松山區,(代補),,,,,,
26,萬華區,財團法人台北市立心慈善基金會,許梅娟,(02)2336-6654#37,臺北市萬華區梧州街36號3樓,周一、二、四、五全日,25.037353,121.4974138
27,萬華區,臺北市立聯合醫院和平婦幼院區,呂欣穎,(02)2388-9595#2311,臺北市萬華區桂林路64號,周一至周五上午,25.0377541,121.502562
28,萬華區,財團法人中華民國佛教慈濟慈善事業基金會,林芸竹,(02)4051-0777#6183,臺北市萬華區莒光路222號5樓,周一、二、四、五全日,25.0313309,121.5002379
29,萬華區,國立臺灣大學醫學院附設醫院北護分院,黃柏凱,(02)2371-7101#216258,臺北市萬華區菜園里成都路98號(西門國民小學自強樓4樓),周一至周五全日,25.0425653,121.503981
30,萬華區,財團法人天主教失智老人社會福利基金會(7月執行),越健伶,(02)2332-0992#163,台北市萬華區保德里德昌街119號1樓,周一至周五全日,25.02418,121.496851
31,中正區,財團法人台灣老人急重症基金會,黃穗秋,(02)2522-4388,臺北市中正區重慶南路三段27巷4號5樓(南門教會),周二至周四全日,25.0284682,121.5159694
32,中正區,財團法人臺北市松年長春社會福利基金會,林香如,(02)2500-0263,臺北市中正區幸福里2鄰中山南路3號,周一至周五全日,25.0434493,121.5195115
33,中正區,財團法人佳醫健康基金會(中正站),張綺鈺,(02)2225-8688#1352,臺北市中正區林森南路2號4樓,周一至周五全日,25.0445092,121.5231058
34,中正區,大心居家職能治療所(中正區),林宜柔,0978260675,台北市中正區光復里博愛路105號2樓,周一至周五全日,25.0426936,121.5116131
35,大安區,起辰職能治療所-1站,陳郁婷,(02)2706-0055,臺北市大安區信義路四段65號3樓,"周二、四、五上午,周二、三、五下午",25.0335561,121.5455059
36,大安區,臺北市立聯合醫院仁愛院區,郭智穎,(02)2709-3600#3715,臺北市大安區四維路198巷40號1樓,"周一、三、四、五上午,周一、二、三、五下午",25.0265951,121.5472642
37,大安區,社團法人寧祈全人健康生命關懷協會(大安站),張荷卿,(02)2531-4495,臺北市大安區仁愛路四段122巷54號(安和教會),週一、三、四全日,25.0340777,121.5501317
38,大安區,財團法人佳醫健康基金會,張綺鈺,(02)2225-8688#1352,臺北市大安區杭州南路2段1號(金甌女中810教室),周二、三、四全日,25.034768,121.5241819
39,大安區,起辰職能治療所-2站,林煒翎,(02)2706-0055,台北市大安區德安里四維路76巷12號5樓,"周一至周五上午,周二、五下午",25.0342045,121.5473046
40,信義區,臺北市立聯合醫院信義站,王炫文,(02)2726-3141 #1003,台北市信義區松隆里松山路657號,周一至周五下午,25.0340709,121.5806356
41,信義區,營佳營養諮詢中心,林貝珊,0900-756-540,台北市信義區吳興街118巷26弄15號,"周一至周五上午,周一至周五下午",25.0299717,121.5599631
42,信義區,臺北市立聯合醫院信義2站,王炫文,(02)2726-3141 #1003,台北市信義區松德路309號6樓,周一至周五全日,25.0292132,121.5745193
43,信義區,中華民國紅心字會受經營委託臺北市信義老人服務中心,馮建文,(02)8787-0300 #112,臺北市信義區大仁里大道路116號5樓之3,周二、四、五全日,25.03777,121.5813853
44,信義區,沐晨職能治療所(信義區),徐瑛雅,0975-266607,臺北市信義區景新里松勤街56號,周一至周五上午,25.030993,121.5617644
45,南港區,臺北市立聯合醫院忠孝院區,陳玉純,(02)2786-1288 #8722,臺北市南港區成福里007鄰東新街108巷23號,周一至周五上午,25.04478,121.5881926
46,南港區,社團法人復生食物銀行全人關懷協會(復生教會),林以恩,(02)2782-2075,臺北市南港區南深路21巷16號,"周一、四全日,週五上午",25.0378661,121.6218664
47,南港區,(待補),,,,,,
48,南港區,台北市後山埤文化發展協會,李翠華,(02)2785-1737,台北市南港區聯成里東新街77巷29號1樓,"周一、三、五全日,周二、四上午及下午",25.0477602,121.5883316
49,文山區,臺北市立聯合醫院-文山職能工作坊,蒙宛蒟,(02)2933-2373,臺北市文山區興業里興隆路二段160號1樓,周一至周五上午,25.0015178,121.5514987
50,文山區,財團法人恆安社會福利慈善事業基金會受託經營臺北市文山老人服務暨日間照顧中心(興岩),陳宜品,(02)2234-4893#104,臺北市文山區興隆路二段88-3號一樓,周一至周五下午,25.0002097,121.5487246
51,文山區,財團法人佳醫健康基金會(文山站),張綺鈺,(02)2225-8688#1352,台北市文山區景美里羅斯福路六段336號(滬江高中信義樓102教室),周二至周四全日,24.9894519,121.5389166
52,文山區,沐晨職能治療所(文山區),徐瑛雅,0975-266607,臺北市文山區順興里保儀路138巷28號1、2樓,周一至周五全日,24.984471,121.5655202
