序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,巷弄長照站短照服務(SC07),lat,lon
1,社團法人臺北市臻佶祥社會服務協會,全區,10065,臺北市中正區中華路二段315巷16、18號,02-2303-6281,陳小姐,,25.0283435,121.5069367
2,財團法人新北市基督教新希望教會(百齡長青),全區,11167,臺北市士林區前港里承德路四段190號4樓,02-2881-5100,徐小姐,,25.0872006,121.5222819
3,臺北市大安區新民炤社區發展協會,大安區,10656,臺北市大安區建國南路一段286巷35號1樓,02-2701-2389,簡小姐,,25.0361758,121.535757
4,財團法人新北市基督教新希望教會(中山五常),全區,11167,臺北市中山區下埤里龍江路377巷20號1樓,02-2515-4949,甘小姐,,25.0646843,121.5421459
5,財團法人臺北市中華基督教浸信會慈光堂,全區,11144,臺北市士林區中社路一段43巷1號,02-2841-2290轉17,辛先生,V,25.1087147,121.5602052
6,中華民國紅心字會(興隆),全區,11646,臺北市文山區興隆路四段105巷47號B棟1樓,02-2936-7119,鄧小姐,V,24.9881877,121.5629351
7,臺北市文山區忠順社區發展協會,全區,11663,臺北市文山區興隆路四段145巷30號,02-2939-9569,賴小姐,V,24.985098,121.5629575
8,台灣旺齡協會,全區,10088,臺北市中正區羅斯福路三段84巷13號1樓,02-2368-0690,鄧莉君,V,25.02136,121.5260921
9,台北市後山埤文化發展協會,全區,115006,臺北市南港區東新街77巷31號,02-2785-1737 0938327576,李小姐,V,25.0477391,121.5882798
10,社團法人臺北市向日葵慈善協會,全區,10580,臺北市松山區南京東路4段133巷7弄9號1樓,02-8770-6501,茅小姐,,25.0513931,121.5546859
11,中華民國天使之家全人關懷協會,全區,11467,臺北市內湖區成功路二段242號1樓,02-2790-9454,黃秘書長,V,25.065888,121.5900616
12,臺北市南港區久如社區發展協會,全區,11572,臺北市南港區研究路2段208號1樓,02-2651-6600,蔡社工師,V,24.7262082,121.0833981
13,台灣健康社區自主發展協會,全區,11150,臺北市士林區德行東路203巷2號1樓,02-2836-9493,李先生,,25.1092589,121.5322353
14,臺北市文山區順興社區發展協會,全區,11661,臺北市文山區興隆路四段165巷12號1樓,02-2939-5932,張小姐,,24.9840629,121.5626204
15,臺北市中山區朱厝崙社區發展協會,全區,10492,臺北市中山區龍江路12號1樓,2781-5504,林小姐,,25.047636,121.5402512
16,社團法人國際奔享體驗教育發展協會(稻香真光),全區,112016,臺北市北投區稻香路85號1樓,0926-440-000,呂小姐,,25.1409522,121.4888625
17,財團法人雙福社會福利慈善事業基金會(信義社區照顧關懷據點),全區,11074,臺北市信義區正和里光復南路443巷9號/光復南路447-44號,02-2729-9580,裘小姐,,25.0357461,121.55853
18,財團法人台灣基督教恩惠福音會,全區,11446,臺北市內湖區內湖路一段608號,02-2797-1000 0933973951,吳先生,V,25.078379,121.5783952
19,財團法人環宇國際文化教育基金會,全區,10647,臺北市中正區羅斯福路三段240巷17弄3號,02-2364-1334,賴小姐,,25.0176349,121.5290591
20,臺北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院經營管理臺北市大龍老人住宅,全區,10369,臺北市大同區民族西路105號4樓,02-6617-8186轉323,沈社工,,25.0687846,121.5170522
21,臺北市大安區群英里辦公處,全區,10691,臺北市大安區四維路198巷30弄9號,02-2754-7207,陰小姐,,25.026519,121.5458646
22,台北市視尾關懷互助協會,文山區,11671,臺北市文山區萬慶街6號,02-8935-1778,鄧小姐,,24.9922808,121.540284
23,社團法人台北市文山區明興社區發展協會,全區,11649,臺北市文山區興隆路四段61號,02-2936-5508,鄭小姐,,24.9894711,121.5599919
24,財團法人利伯他茲教育基金會(木柵復活堂),全區,11650,臺北市文山區永安街1號,02-2939-4359,劉先生,,24.9874482,121.5702677
25,財團法人弘道老人福利基金會,全區,115002,臺北市南港區市民大道8段588巷18號,02-2322-1735,詹先生,,25.0538015,121.6145084