序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,GA03,GA04,GA06,SC03,SC04,SC06,lat,lon
1,臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構(日間照顧),全區,105013,臺北市松山區民生東路五段163-1號7樓,02-2760-9605#14,陳小姐,V,,V,V,,V,25.0593151,121.5629083
2,社團法人台灣認知功能促進協會附設臺北市私立敬智學苑社區長照機構,全區,114030,臺北市內湖區新明路22號2樓,02-2790-0907,謝小姐,V,V,,V,V,,25.0603327,121.5905378
3,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構(日間照顧),全區,10444,臺北市中山區長安西路5巷2號4樓,02-2521-1032,張小姐,V,V,V,V,V,V,25.0504365,121.5208104
4,財團法人私立廣恩老人養護中心附設臺北市私立松山健康社區長照機構,全區,105030,臺北市松山區健康路225巷11號1樓,02-2756-8777,劉先生,V,V,V,V,V,V,25.0545344,121.5622615
5,臺北市政府社會局委託財團法人臺北市喜樂家族社會福利基金會經營管理大龍峒身障社區長照機構(日間照護),全區,103250,臺北市大同區重慶北路三段320號3、4樓,02-2592-2581,李小姐,V,V,,V,V,,25.0753349,121.5135337
6,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,全區,10867,臺北市萬華區德昌街125巷11號,02-2304-6716 #108,吳小姐,V,V,,V,V,,25.0238781,121.4969354
7,凱風長照股份有限公司附設臺北市私立凱風民權社區長照機構,全區,104078,臺北市中山區民權東路三段21號2樓之1及之2,02-2508-0810,鄭小姐,V,V,,V,V,,25.0625757,121.5416693
8,凱風長照股份有限公司附設臺北市私立凱風大直社區長照機構,全區,10462,臺北市中山區樂群三路56號5樓之2,02-8501-1716,蘇小姐,V,V,,V,V,,25.0824242,121.5527381
9,凱風長照股份有限公司附設臺北市私立凱風新生北綜合長照機構,全區,104039,臺北市中山區新生北路三段56巷17號1樓,02-2599-6681,李小姐,V,V,,V,V,,25.0654369,121.5269464
10,花甲樂股份有限公司附設臺北市私立文山花甲樂社區長照機構,全區,11691,臺北市文山區景興路222號1樓,02-2930-2806,郭社工,V,V,,V,V,,24.9911581,121.5434021
11,圓石實業股份有限公司附設臺北市私立內湖圓石社區長照機構,全區,114708,臺北市內湖區民權東路6段180巷6號8樓,02-2790-2090,王小姐,V,V,,V,V,,25.0682322,121.5923833
12,臺北市私立安歆松江社區長照機構,全區,10456,臺北市中山區松江路50號3樓A室,02-2537-1116,黃社工師,V,V,,V,V,,25.0481704,121.5327639
13,圓石實業股份有限公司附設臺北市私立大同圓石社區長照機構(小規機),全區,10344,臺北市大同區永樂里延平北路2段96號3樓,02-2558-3800,侯小姐,V,V,V,V,V,V,25.0563621,121.5112171
14,圓石責業股份有限公司附設臺北市私立大稻埕圖石社區長照機構,全區,10344,臺北市大同區延平北路2段96號3樓之1,02-2558-6900,王小姐,V,V,,V,V,,25.0563621,121.5112171
15,喧悅長照有限公司附設臺北市私立喧悅永安社區長照機構,全區,116010,臺北市文山區永安街6巷11號1樓,02-2365-9991,莊小姐,V,V,,V,V,,24.9871072,121.5695984
16,財團法人弘道老人福利基金會附設臺北市私立西松社區長照機構,全區,10569,臺北市松山區南京東路5段251巷46弄5號2.3樓,2761-6300,趙小姐,V,V,V,V,V,V,25.0518277,121.5574266
17,康和文山樂活股份有限公司附設臺北市私立杏花學社區長照機構,全區,116057,臺北市文山區辛亥路4段128-1號2樓,02-2935-6802,宮小姐,V,V,V,V,V,V,25.0052729,121.5565535
18,益巨股份有限公司附設臺北市私立崇仁社區長照機構,全區,108056,臺北市萬華區青年路152巷28號1樓,02-2309-0193,許小姐,V,V,,V,V,,25.020624,121.5012177
19,臺北市私立意善園社區長照機構,全區,112044,臺北市北投區行義路124巷3號1樓,02-2877-2666,黃小姐,V,V,,V,V,,25.1288684,121.5291165
20,臺北市政府社會局委託社團法人台灣德安社會福利協會經營管理臺北市大安社區長照機構,全區,10679,臺北市大安區四維路76巷12號,02-2708-6255,施先生,V,,V,V,,V,25.0342045,121.5473046
21,臺北市政府社會局委託社團法人中華民國士林靈糧堂社會福利協會經營管理臺北市瑞光社區長照機構,全區,114062,臺北市內湖區瑞光路162號2樓之1,02-2657-5677#13,林小姐,V,V,,V,V,,25.0734829,121.5791934
22,臺北市政府衛生局委託臺北榮民總醫院經營管理稻香社區長照機構,全区,112016,臺北市北投區稻香路81號4樓,02-2895-8575,黃小姐,V,V,V,V,V,V,25.1408385,121.4893527
23,崇仁長照股份有限公司私立元泰社區長照機構,全區,111009,臺北市士林區中山北路5段685號2號,02-28322779,林小姐,V,V,,V,V,,25.097058,121.5273095
24,逸滿心有限公司附設臺北市私立逸滿心社區長照機構,全區,111009,臺北市士林區中山北路5段687號3樓之1,02-2835-3535,羅小姐,V,V,,V,V,,25.0972045,121.5272648
25,財團法人高雄市私立聖和社會福利慈善事業基金會附設臺北市私立小彎社區長照機構,全區,115000,臺北市南港區向陽路248號1樓,02-2783-6609,劉小姐,V,V,V,V,V,V,25.0573331,121.5936315
26,暉宇有限公司附設臺北市私立星雲祥家社區長照機構,全區,114052,臺北市內湖區星雲街161巷3號3樓,02-2790-0898 02-7756-6025,馮小姐,V,V,,V,V,,25.0811158,121.5962018
27,臺北市政府社會局委託財團法人台北市立心慈善基金會經營管理臺北市萬華龍山社區長照機構,中正區、萬華區,108017,臺北市萬華區梧州街36號3樓之1,02-2336-6654#35,林小姐,V,,V,V,,V,25.0373367,121.497512
28,臺北市政府社會局委託佳醫長照社團法人經營管理臺北市兆如老人安養護中心,全區,116016,臺北市文山區政大二街129號,02-2936-2188轉3106,劉小姐,V,V,,V,V,,24.9892314,121.5839877
29,臺北市政府社會局委託社團法人中華民國士林靈糧堂社會福利協會經營管理臺北市士林社區長照機構,全區,11148,臺北市士林區忠誠路二段53巷7號6樓,02-2838-1571 #212,陳督導,V,V,V,V,V,V,25.1114866,121.5323988
30,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理景新身障社區長照機構(日間照顧),全區,116051,臺北市文山區景後街151號4樓,02-2935-5560,莊社工,V,V,,V,V,,24.9899534,121.5420504
31,財團法人台北市私立愛愛院(日照),全區,10856,臺北市萬華區大理街175巷27號,02-2306-0493 #2300,謝組長,V,V,,V,V,,25.0348821,121.4954318
32,耆寓股份有限公司附設臺北市私立大興綜合長照機構,全區,112028,臺北市北投區北投路二段13號6樓、6樓之1,02-2891-0608,蔡小姐,V,V,,V,V,,25.1310481,121.4985725
33,臺北市政府社會局委託財團法人天主教白永恩神父社會福利基金會經營管理稻香身障社區長照機構(日間照顧),全區,112016,臺北市北投區稻香路81號3樓之1,02-2898-8308#12,朱小姐,V,V,,V,V,,25.1409914,121.4893656
34,渥康國際股份有限公司附設臺北市私立康禾社區長照機構,全區,105405,臺北市松山區南京東路三段285號3樓,02-7705-6178,吳小姐,V,V,,V,V,,25.0520908,121.5456188
35,財團法人一粒麥子社會福利慈善事業基金會附設臺北市私立莒光社區長照機構,全區,108029,臺北市萬華區萬大路22號3樓之1,02-2338-1010,王小姐,V,V,,V,V,,25.0317776,121.5003505
36,圓石實業股份有限公司附設臺北市私立文山和興圓石社區長照機構,全區,116001,臺北市文山區和興路88號1樓,02-2236-2001,王小姐,V,V,,V,V,,24.9850552,121.5493036
37,臺北市政府社會局委託社團法人中華民國士林靈糧堂社會福利協會經營管理福星身障社區長照機構(日間照顧),全區,108001,臺北市萬華區開封街2段39號3樓之1,02-2382-1448#11,曾社工,V,V,,V,V,,25.0469825,121.5063531
38,臺北市政府社會局委託財團法人私立健順養護中心經營管理臺北市松山社區式長期照顧服務機構,全區,105069,臺北市松山區健康路317號2樓,02-2768-5636#239,蔡主任,V,V,,V,V,,25.0544773,121.5663145
39,醫時代股份有限公司附設臺北市私立醫時代民生社區長照機構,全區,105014,臺北市松山區三民路113巷10號及12號,0975-933-293,曾主任,V,V,,V,V,,25.0581632,121.5624432
40,常青樹國際股份有限公司附設臺北市私立常青樹社區長照機構,全區,104090,臺北市中山區長安東路二段31號5樓之1,02-2522-2218,徐主任,V,V,,V,V,,25.048623,121.5311787
41,國亨行銷事業股份有限公司附設臺北市私立好好社區長照機構,士林區、北投區,112056,臺北市北投區大業路527巷33號1樓,02-28977118#12,任主任,V,V,,V,V,,25.137377,121.4911964