序號,單位名稱,立案地址,立案日期,設立許可字號,機構負責人,電話,傳真,可提供自費服務評鑑結果,特約服務區域,lat,lon
1,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟居家式服務類⻑期照顧服務機構,臺北市萬華區東園街140巷7號2樓,107年7月9日,北市社老字第10760155941號,鍾安住,02-2309-8728,2305-1604,Ｖ 113年評鑑合格,中正、萬華、大同、中山,25.023428,121.4970226
2,財團法人台北市立心慈善基金會附設臺北市私立立心居家式服務類⻑期照顧服務機構,臺北市萬華區艋舺大道120巷39弄3號2樓,107年2月14日,府社老字第10732435300號,洪金桐,02-2336-1555,2336-1181,Ｖ 112年評鑑合格,中正、萬華、大同,25.0320551,121.502368
3,臺北市私立寬安居家⻑照機構,臺北市萬華區莒光路328號6樓,111年6月2日,北市社老字第11130839071號,林菡雅,02-2308-1977,,Ｖ 113年評鑑合格,大安、中正、萬華、大同、中山,25.0313466,121.4975218
4,財團法⼈中華⺠國佛教慈濟慈善事業基⾦會臺北市私立慈濟居家⻑照機構,臺北市萬華區莒光路222號5樓,108年5月1日,北市社老字第10830593911,釋證嚴,02-2302-3479,,Ｖ 112年評鑑合格,臺北市全區,25.0313309,121.5002379
5,中華⺠國紅⼗字會附設私立博愛居家⻑照機構,臺北市萬華區康定路62號11樓,109年3月13日,北市社老字10930351171號,潘維大,02-2331-0500,23628232*402(業負),Ｖ 111年評鑑合格,中正、萬華、大同、中山,25.0425114,121.5023187
6,臺北市私立⼤⼼居家⻑照機構,臺北市萬華區康定路348號2樓之1,108年1月21日,北市社老字第1093128696號,趙重凱,02-2339-0179,2339-0619,Ｖ 112年評鑑合格,文山、中正、萬華、大同,25.0348959,121.5010542
7,有限責任臺北市全國照服員勞動合作社附設臺北市私立全方位居家⻑照機構,臺北市萬華區青年路106巷9號,110年5月3日,北市社老字第11030499761號,李宗玟,02-23033909,,V 113年評鑑合格,未特約,25.0227469,121.5021579
8,臺北市私立璞馨居家⻑照機構,臺北市萬華區東園街66巷21弄51號2樓,108年8月1日,北市社老字第10831156851號,李凱婷,02-2305-6626,2305-8299,Ｖ 111年評鑑合格,中正、萬華、大同、中山,25.0266313,121.4953664
9,紙⾶機服務科技股份有限公司附設臺北市私立紙⾶機居家⻑照機構,臺北市萬華區⻄園路1段200號8樓之3,110年8月10日,北市社老字第10831156851號,李學真,0909-139394,,V 112年評鑑合格,萬華、大同、中山、南港、內湖、信義、松山、大安、士林、北投,25.0262857,121.4970294
10,私立愛吾愛居家⻑照機構,臺北市萬華區大理街171之1號2樓207室,108年2月13日,北市社老字第10830098681號,許惠容,02-2308-7286,,Ｖ 112年評鑑合格,臺北市全區,25.0339777,121.4949167
11,普眾股份有限公司附設臺北市私立普眾居家⻑照機構,臺北市南港區昆陽街152巷39號1樓,109年7月6日,北市社老字第10931069711號,陳秀麗,02-27887966,,Ｖ 111年評鑑合格,臺北市全區,25.0491517,121.5929924
12,聖照股份有限公司附設臺北市私立邦寧居家⻑照機構,臺北市信義區信義路4段375號6樓之6,111年3月29日,北市社老字第11130474671號,戴仕豪,0906-502581,,Ｖ 113年評鑑合格,信義、大安、中正、中山、南港,25.0333242,121.5579077
13,北醫⼤管理顧問股份有限公司附設私立君蔚居家⻑照機構,臺北市信義區信義路4段375號4樓之7,110年8月27日,北市社老字第11031137951號,張詩鑫,02-2345-5288,,V 112年評鑑合格,信義區、大安區,25.0332856,121.5578319
14,福⽥居家有限公司私立福⽥居家⻑照機構,臺北市信義區忠孝東路5段492巷2號2樓,107年12月11日,北市社老字第10760944511號,林永峰,02-2727-0065,2727-0051,Ｖ 113年評鑑不合格,臺北市全區,25.0406521,121.5652968
15,智慧⻑照有限公司附設臺北市私立愛關懷居家⻑照機構,臺北市信義區忠孝東路5段1號2樓207室,109年7月30日,北市社老字第10931240971號,王純鍵,02-7729-7769,,Ｖ 111年評鑑合格,松山、大安、信義、文山、士林、內湖、南港,25.0406521,121.5652968
16,臺北市私立⼼康樂居家⻑照機構,臺北市信義區和平東路3段391巷8弄50號3樓,112年5月12日,北市社老字第11230642231號,林鼎鈞,0933-043218,,V 113年評鑑不合格,未特約,24.9747451,121.4427991
17,碩穎健康股份有限公司附設臺北市私立碩穎居家⻑照機構,臺北市信義區富陽街29號1樓,112年9月18日,北市社老字第11231271471號,李昱慧,02-2737-2704,,V,信義、松山、大安,25.0229322,121.5564181
18,臺北市私立千意居家⻑照機構,臺北市松⼭區復興南路⼀段37號2樓,111年7月6日,北市社老字第11130903521號,楊歆研,0939313982,,Ｖ 113年評鑑合格,內湖、南港、松山,25.0329636,121.5654268
19,財團法人弘道老人福利基金會附設臺北市私立弘道居家式服務類⻑期照顧服務機構,臺北市松山區復興北路451號1樓,107年1月19日,府社老字第10648575600號,王乃弘,02-6613-1314,2712-4870,Ｖ 112年評鑑合格,松山,25.0639844,121.544483
20,東和居家有限公司附設臺北市私立東和居家⻑照機構,臺北市松山區南京東路四段170號4樓之1,110年10月29日,北市社老字第1103148884號,林溦,02-6605-0630,,V 112年評鑑合格,臺北市全區,25.0512544,121.5569542
21,財團法⼈佳醫健康基⾦會附設臺北市私立佳醫居家⻑照機構,臺北市松山區南京東路五段8-10號503室,109年11月3日,北市社老字第10931685081號,蘇秀鑾,02-25280502,,Ｖ 111年評鑑合格,臺北市全區,25.0512298,121.5583746
22,愛馨居服有限公司附設臺北市私立愛馨居家⻑照機構,臺北市松山區南京東路5段230號2樓之1,110年9月17日,北市社老字第11031235981號,傅翰強,02-2341-5924,,V 112年評鑑合格,信義、松山、大安、文山、中正、萬華,25.0518277,121.5574266
23,⼀⼼健康事業股份有限公司附設臺北市私立繫⼼居家⻑照機構,臺北市松山區延吉街11號4樓之1（A室）,110年3月31日,北市社老字11030383321號,黃淑華,02-2578-1008,,V 112年評鑑合格,松山、信義、大安、中山、中正、大同、南港、內湖、北投、萬華、士林,25.0467212,121.5536621
24,臺北市私立⼀⼼居家⻑照機構,臺北市松山區延吉街11號4樓之1,109年3月18日,北市社老字第10930042241號,黃淑華,02-2578-1018,,Ｖ 111年評鑑合格,松山、信義、大安、中山、中正、大同、南港、內湖、北投、萬華、士林,25.0466104,121.5537157
25,臺北市私立暖⼼居家⻑照機構,臺北市萬華區萬大路323號7樓702室,108年5月22日,北市社老字第10830726181號,方琇慧,02-7751-5315,,Ｖ 111年評鑑合格,士林、中正、萬華、大同,25.0243099,121.5004931
26,秉⼼有限公司附設臺北市私立秉⼼居家⻑照機構,臺北市松山區光復北路119之1號2樓,109年11月9日,北市社老字第10931719761號,陳欣怡,02-27666683,0932-154153(主打),Ｖ 112年評鑑合格,臺北市全區,25.0520828,121.5574036
27,耆康實業有限公司附設臺北市私立⼩太陽居家⻑照機構,臺北市松⼭區三⺠路35巷9號2樓,108年4月24日,北市社老字第10830549951號,嚴成茂,02-2742-0058,,Ｖ 111年評鑑合格,臺北市全區,25.0329694,121.5654177
28,有限責任臺北市樂見在照顧服務勞動合作社附設私立樂見在居家⻑照機構,臺北市松山區八德路二段447號7樓,108年7月16日,北市社老字第10831036901號,倪玲娜,02-2731-8649,2893-0170,Ｖ 112年評鑑合格,臺北市全區,25.0483304,121.5472699
29,臺北市私立喜宇居家⻑照機構,臺北市松山區八德路4段678號6樓之1,109年3月30日,北市社老字第109330405941號,劉敬喜,27560018,,Ｖ 112年評鑑合格,南港、松山、中山,25.0499475,121.576443
30,喜樂園⻑照股份有限公司附設臺北市私立喜樂園居家⻑照機構,臺北市松山區八德路4段123號2樓之4,108年10月22日,北市社老字第10831646351號,張經緯,02-2760-2270,,Ｖ 112年評鑑合格,臺北市全區,25.0487599,121.561735
31,財團法人伊甸社會福利基金會附設臺北市私立台北居家式服務類⻑期照顧服務機構,臺北市北投區裕⺠六路120號3樓C棟,106年12月28日,府社老字第10648012700號,陳宇昭,02-2821-0320,2821-0592,Ｖ 112年評鑑合格,士林、北投、松山、文山,25.1151759,121.515018
32,忠孝事業有限公司附設臺北市私立忠孝居家⻑照機構,臺北市北投區明德路283號3樓,109年12月29日,北市社老字第10932029481號,蔡愷駿,02-2822-6003,0977168330,V 111年評鑑合格,臺北市全區,25.1149841,121.5220992
33,財團法⼈老五老基⾦會附設臺北市私立老五老居家式服務類⻑期照顧服務機構,臺北市北投區石牌路1段14號3樓,107年1月31日,府社老字第10730394000號,陳麗欣,02-2821-2939,02-2821-2959 2897-6208,Ｖ 112年評鑑合格,北投、士林,25.1133685,121.510814
34,臺北市私立和美居家⻑照機構,臺北市北投區北投路⼀段59號2樓,110年8月6日,北市社老字第11030997921號,詹弘毅,02-28918131,,V 113年評鑑合格,士林、北投,25.1258348,121.5008175
35,樂昱有限公司附設臺北市私立樂昱居家⻑照機構,臺北市北投區文林北路262號2樓,109年2月21日,北市社老字第10930198131號,黃信雄,02-2822-5423,2822-7660,Ｖ 111年評鑑合格,臺北市全區,25.1091403,121.5133503
36,臺北市私立永欣居家⻑照機構,臺北市北投區中央北路二段371號1樓,110年7月5日,北市社老字第11030852541號,陳柏帆,02-2891-6364,,V 112年評鑑合格,士林、北投、中正、萬華、大同、中山,25.1381909,121.487479
37,有限責任臺北市育坊社區照護勞動合作社私立育坊居家⻑照機構,臺北市北投區大同街299號,107年8月17日,北市社老字第10760316701號,錢素明,02-2895-7520,2897-2959,Ｖ 113年評鑑合格,士林、北投、大同、中山,25.1398203,121.4992354
38,臺北市私立傑緣居家⻑照機構,臺北市北投區大同街210號1樓,110年12月27日,北市社老字第11031853521號,劉宇傑,02-77422276,,V 112年評鑑合格,士林、北投、大同,25.138526,121.4993383
39,恩揚有限公司附設臺北市私立恩揚居家⻑照機構,臺北市文山區羅斯福路5段225之1號1樓,109年4月20日,北市社老字第10934634711號,林子哲,02-2930-1999,,Ｖ 111年評鑑合格,松山、大安、文山、中正,25.0019881,121.5393212
40,社團法⼈中華⻑照協會附設臺北市私立永樂居家⻑照機構,臺北市文山區羅斯福路六段134號2樓,110年2月3日,北市社老字第11030078881號,金浩鑫,02-2930-6919,,Ｖ 112年評鑑合格,中正、大安、文山,24.9969315,121.5406851
41,寶安健康有限公司附設臺北市私立鑫安居家⻑照機構,臺北市文山區興隆路三段206巷10弄1號,111年11月14日,北市社老字第11131599061號,廖麗如,2230-3056,,Ｖ 113年評鑑不合格,文山,24.9974166,121.5587846
42,惠安護康科技有限公司附設臺北市私立惠安居家⻑照機構,臺北市文山區興隆路2段86巷2號1樓,112年3月3日,北市社老字第11230152861號,詹益發,0952-654002,,Ｖ 113年評鑑合格,文山、大安,24.9997718,121.5483313
43,優活健康顧問有限公司附設臺北市私立優活居家⻑照機構,臺北市文山區景福街133巷30號1樓,111年9月20日,北市社老字第11131363981號,林亭如,02-2933-6682,,V 113年評鑑合格,文山、信義、大安,24.9956491,121.536953
44,北醫⼤管理顧問股份有限公司附設私立杏芳居家⻑照機構,臺北市文山區景後街190號2樓之1,109年12月4日,北市社老字10931908751號,張詩鑫,02-2935-0230#200,,Ｖ 111年評鑑合格,文山,24.9901849,121.5417846
45,東和居家有限公司附設臺北市私立東正居家⻑照機構,臺北市文山區景文街42號3樓305室,110年12月30日,北市社老字第11031730941號,林溦,0937-802-863,,Ｖ 112年評鑑合格,大安、中正、文山,24.9917496,121.5412001
46,臺北市私立安家居家⻑照機構,臺北市文山區景文街42號3樓302室,108年11月15日,北市社老字第1083174585號,吳米加,02-2933-3468,,Ｖ 111年評鑑合格,信義、松山、大安、文山、中正、萬華、大同、中山,24.9917496,121.5412001
47,泉益居家有限公司附設臺北市私立泉益居家⻑照機構,臺北市文山區保儀路38號1、2樓,109年12月22日,北市社老字第10932022991號,詹弘毅,02-86618880,02-86618900,V 111年評鑑合格,臺北市全區,24.9881441,121.5685203
48,端豈資產管理股份有限公司附設臺北市私立端豈居家⻑照機構,臺北市文⼭區忠順街⼀段18號1樓,112年6月9日,北市社老字第11230700581號,吳柏勳,2936-6360,,V 113年評鑑不合格,信義、大安、文山,24.9838355,121.5578106
49,臺北市私立前瞻居家⻑照機構,臺北市文山區辛亥路四段21巷10號9樓,110年2月20日,北市社老字第11030210111號,楊邦媛,8931-2545,,Ｖ 113年評鑑合格,臺北市全區,25.0088246,121.558983
50,沃恩有限公司附設臺北市私立耆樂居家⻑照機構,臺北市內湖區成功路2段171號1樓,112年4月10日,北市社老字第11230344791號,林顯寬,02-27946676,,Ｖ 113年評鑑合格,內湖、南港、士林,25.0661876,121.5906859
51,臺北市私立康健居家式⻑照機構,臺北市內湖區⺠權東路6段180巷6號6樓之18（A室）,109年6月3日,北市社老字第10930904311號,吳姁媛,02-87919104,,Ｖ 111年評鑑合格,內湖、南港、中山、松山、信義,25.0718396,121.5382382
52,⼤安健康股份有限公司附設臺北市私立⼤安居家⻑照機構,臺北市內湖區⺠權東路6段123巷16號6樓,112年7月18日,北市社老字第11230811561號,呂以寧,02-8792-2936,,Ｖ,內湖、松山、信義,25.082001,121.562265
53,有限責任臺灣第二照顧服務勞動合作社附設臺北市私立二顧居家⻑照機構,臺北市中正區羅斯福路⼀段102號8樓,108年11月4日,北市社老字第10831621341號,伍崑崙,02-25527608,,Ｖ 111年評鑑合格,臺北市全區,25.0203177,121.5285068
54,臺北市私立祝福居家⻑照機構,臺北市中正區羅斯福路4段68號7樓之10(6810-E室),111年8月25日,北市社老字第11131208451號,鄭如杏,02-29321396,,113年評鑑不合格,文山、中正、中山,25.014612,121.5342254
55,臺北市私立朵朵居家⻑照機構,臺北市中正區齊東街78之1號1樓,111年6月9日,北市社老字第11130836061號,方珍珍,02-23826700,,112年評鑑合格,大安、中正、大同、中山,25.0416753,121.5274443
56,潤⽥健康有限公司附設臺北市私立潤⽥居家⻑照機構,臺北市中正區湖口街1之3號1樓,111年10月19日,北市社老字第11131429131號,江錦珍,02-23435882,,V 113年評鑑合格,大安、中正、大同、信義、松山、文山、萬華,25.0328126,121.5150202
57,京鶴實業有限公司附設臺北市私立悅康居家⻑照機構,臺北市中正區許昌街42之1號7樓700室,109年7月23日,北市社老第10931203231號,林廣盛,02-23709008,,Ｖ 111年評鑑合格,松山、大安、萬華、中正、大同、中山、信義、士林、北投、內湖、南港,25.0451628,121.5156237
58,社團法⼈台灣比較刑法學會附設臺北市私立誠實居家⻑照機構,臺北市中正區重慶南路3段42之3號2樓,111年3月23日,北市社老字第11130429311號,李金定,02-77515512,,Ｖ 113年評鑑合格,士林、北投、松山、中正、中山,25.0282802,121.5155236
59,社團法⼈中華⺠國紅⼼字會附設臺北市私立紅⼼居家式服務類⻑期照顧服務機構,臺北市中正區重慶南路1段43號3樓之2,107年5月11日,北市社老字第10736743200號,劉緒倫,02-2370-0267,2371-9191,Ｖ 112年評鑑合格,信義、大安、文山,25.0468814,121.5134147
60,美樺股份有限公司附設私立美美居家⻑照機構,臺北市中正區重慶南路1段121號5樓之2,109年5月12日,北市社老字第10930682591號,傅翰強,02-2370-0021,,Ｖ 111年評鑑合格,臺北市全區,25.0468814,121.5134147
61,社團法⼈台灣優質⽣命協會附設臺北市私立愛抵家居家⻑照機構,臺北市中正區忠孝⻄路1段45號12樓之8,111年11月24日,北市社老字第11131736251號,陈美凤,02-66040060,,V,未特約,25.0421407,121.5198716
62,悠藝股份有限公司附設臺北市私立悠藝居家⻑照機構,臺北市中正區南昌路2段206號3樓之1,112年4月18日,北市社老字第11230503131號,吳國豪,02-23650157,,Ｖ 113年評鑑不合格,大安、中正、萬華,25.0240379,121.52432
63,耀⽣⻑期照顧服務股份有限公司附設臺北市私立耀⽣居家⻑照機構,臺北市中正區懷寧街112號6樓、6樓之1,110年5月14日,北市社老字第11030644601號,黃偉嘉,02-23932500,,V 111年評鑑合格,士林、內湖、南港、信義、松山、大安、文山、中正、萬華、大同、中山,25.0416621,121.5138938
64,⻑安健照事業股份有限公司附設臺北市私立⻑安健照事業居家⻑照機構,臺北市中正區忠孝東路1段35號10樓D室,111年3月7日,北市社老字第11130334751號,戴妤庭,02-25810519,,Ｖ 112年評鑑合格,松山、中正、萬華、大同、中山、南港、大安、士林、北投、信義,25.0425297,121.533259
65,博珍服務事業股份有限公司附設臺北市私立博珍居家⻑照機構,臺北市大安區忠孝東路4段290號10樓1013室,111年3月7日,北市社老字第11130251071號,黃玉婷,02-23889028,,Ｖ 113年評鑑合格,大安、中正、中山,25.0419925,121.5335165
66,財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立⼒麗居家式服務類⻑期照顧服務機構,臺北市中正區和平⻄路1段107號,107年4月27日,北市社老字第10831562911號,郭銓慶,02-2393-8326,2396-1185,Ｖ 110年評鑑合格,中正、大安、信義、松山、中山,25.0421407,121.5198716
67,元愷有限公司附設臺北市私立安愷居家⻑照機構,臺北市中⼭區⻑安東路1段21號3樓,108年12月17日,北市社老字第1083188062號,蔡愷駿,02-2522-1993,02-2567-3543,Ｖ 111年評鑑合格,臺北市全區,25.0329694,121.5654177
68,凱風⻑照股份有限公司附設臺北市私立凱風新⽣北綜合⻑照機構,臺北市中山區新生北路三段56巷17號1樓,111年10月11日,北市社老字第11131348141號,郭銘仁,2599-6683,2599-6682,V,大安、中山,25.065537,121.5268969
69,臺北市私立愛家居家⻑照機構,臺北市中山區新生北路3段87巷23號,108年5月9日,北市社老字第1083070729號,黃姿寧,02-25966934,0933-599-144 2596-6934,Ｖ 111年評鑑合格,臺北市全區,25.0674443,121.5288631
70,謙和園健康福祉有限公司附設臺北市私立溫邸家居家⻑照機構,臺北市中山區新生北路2段72巷23號1樓,109年6月15日,北市社老字第10930925741號,王志剛,02-25681589,02-25681282,Ｖ 111年評鑑合格,臺北市全區,25.0571745,121.5266077
71,溫⼼企業有限公司附設臺北市私立溫⼼居家⻑照機構,臺北市中山區復興北路62號3樓之1（6室）,110年4月21日,北市社老字第11030309101號,張正松,02-2751-0515,02-2751-0515,V 113年評鑑合格,松山、中山、大同,25.0505318,121.5437918
72,詮順居家⻑照有限公司附設臺北市私立詮順居家⻑照機構,臺北市中山區復興北路62號2樓之2,109年11月26日,北市社老字第10931820931號,林倖如,02-2773-0398,02-2773-0259,V 112年評鑑合格,臺北市全區,25.0505318,121.5437918
73,芊潁顧問有限公司附設臺北市私立芊潁居家⻑照機構,臺北市中山區建國北路3段94號2樓D201室,109年11月2日,北市社老字第10931694851號,何冠潁,02-2508-0383,02-2508-1099,Ｖ 111年評鑑合格,臺北市全區,25.0665964,121.5341811
74,瑞⽲⻑照有限公司附設私立春江居家⻑照機構,臺北市中山區松江路293之705號F室,112年3月13日,北市社老字第11230110131號,周佳呈,02-6623-6828,02-8192-6929,V 113年評鑑不合格,中山、士林、內湖,25.0608082,121.533454
75,辰逸有限公司附設臺北市私立辰逸居家⻑照機構,臺北市中山區南京東路2段137號14樓(118室),111年8月23日,北市社老字第11131059421號,王超凡,02-7755-3620,,V 113年評鑑不合格,大同、中山、松山,25.051898,121.5281835
76,安德利互聯網股份有限公司附設臺北市私立安德利居家⻑照機構,臺北市中山區五常街51號2樓,109年2月21日,北市社老字第10930147021號,李盛豊,0953-790315,02-25119069,Ｖ 112年評鑑合格,內湖、南港、松山、中山、萬華、士林、北投、大安、文山、信義、大同,25.0644338,121.539383
77,安⼼好⽣活股份有限公司附設臺北市私立佳愛居家⻑照機構,臺北市中⼭區⻑安東路2段230號6樓之5,111年3月29日,北市社老字第11130409251號,蘇秀鑾,02-2711-0922,02-2221-1671,V 112年評鑑合格,信義、松山、大安、中山,25.0329694,121.5654177
78,臺北市私立安歆居家式服務類⻑期照顧服務機構,臺北市中山區松江路50號3樓,107年11月23日,北市社老字第10760855961號,余建華,02-2537-2586,2537-1557,Ｖ 113年評鑑合格,臺北市全區,25.048168,121.5327222
79,社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類⻑期照顧服務機構,臺北市中山區松江路131之12號6樓,107年2月9日,府社老字第10648754200號,吳逸秋,02-2509-0266,02-2509-0567 02-2509-0523 2509-0777,Ｖ 112年評鑑合格,臺北市全區,25.0541329,121.5333496
80,美⽽美居家⻑照股份有限公司附設臺北市私立美⽽美居家⻑照機構,臺北市中山區錦州街46號12樓之3（R06室）,109年3月31日,北市社老字第10930503011號,李壬㛙,02-2821-2412,2823-8289,Ｖ 111年評鑑合格,臺北市全區,25.0601933,121.5258786
81,臺北市私立仁群居家⻑照機構,臺北市中⼭區⺠族東路512巷12號1樓,107年6月27日,北市社老字第10760046321號,劉昱森,02-2501-6299,2515-0189,Ｖ 112年評鑑合格,松山、中山、大同,25.0329636,121.5654268
82,瑞兆居服股份有限公司附設臺北市私立瑞兆居家⻑照機構,臺北市中⼭區⺠⽣東路2段119號3樓之3,109年11月16日,北市社老字第10931760221號,邱暉智,02-2537-3968,,Ｖ 112年評鑑合格,松山、大同、中山,25.118466,121.535266
83,社團法人臺灣樂福國際慈善福利協會(沐浴車),臺北市南港區南港路3段93號3樓,,,張淞源,0984-112366,,,臺北市全區(到宅沐浴車),25.0528402,121.587789
84,社團法人寧祈全人健康生命關懷協會附設臺北市私立寧祈居家⻑照機構,臺北市中⼭區⺠⽣東路1段42號12樓之14,110年1月12日,北市社老字第10932112131號,吳健樑,02-2521-3282,,V 113年評鑑合格,臺北市全區,25.1183582,121.5309597
