序號,機構名稱,服務區別,郵遞區號,機構(服務)地址,聯絡電話,聯絡窗口,住宿式短照服務(SC05),lat,lon
3,台北市私立同德老人長期照顧中心(養護型),全區,11280,臺北市北投區明德路306號1-7樓,02-2828-1328,汪小姐,V,25.1152358,121.5223028
4,臺北市私立天玉老人長期照顧中心(長期照顧型),全區,11157,臺北市士林區天玉街38巷18弄18號1-6樓,02-2872-0239,張小姐,V,25.1201739,121.530293
5,臺北市私立康壯老人長期照顧中心(養護型),全區,10561,臺北市松山區八德路四段203、205號1-4樓,02-2768-6697 02-2768-6714,李小姐,V,25.0489188,121.5637852
7,臺北市私立貴族老人長期照顧中心(養護型),全區,11268,臺北市北投區大業路452巷2號2-5樓,02-2896-5555,吳小姐,V,25.13143,121.49686
8,臺北市私立豪門老人長期照顧中心,全區,11268,臺北市北投區大業路452巷2號,02-2896-5555,吳小姐,V,25.13143,121.49686
9,臺北市私立上上老人養護所,全區,10665,臺北市大安區復興南路一段279巷14、16號1樓,02-2703-2223,李小姐,V,25.0355313,121.5446372
10,臺北市立關渡醫院-委託臺北榮民總醫院經營附設護理之家,全區,11260,臺北市北投區知行路225巷12號6樓及12樓,02-2858-7161,盧小姐,,25.1206037,121.4661496
11,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,全區,10867,臺北市萬華區德昌街125巷11號,02-2304-6716 #108,吳小姐,V,25.0238781,121.4969354
12,臺北市私立福喜老人長期照顧中心(養護型),全區,10468,臺北市中山區松江路374、380、382號7樓,02-2591-9087,甘護理長,,25.0631395,121.5328467
13,臺北市私立福成老人長期照顧中心(養護型),全區,10468,臺北市中山區松江路374、380、382號4樓,02-2598-2507,羅社工師,,25.0631395,121.5328467
18,臺北市私立倚青園老人長期照顧中心(養護型),全區,11266,臺北市北投區義理街63巷4弄11-1號,02-2828-3533,余先生,V,25.1181051,121.5152453
19,臺北市政府衛生局附設臺北市東明住宿長照機構(委託財團法人台北市私立愛愛院經營管理),全區,11500,臺北市南港區南港路二段60巷17號2樓,02-2651-9808 轉8002,林小姐,,25.0546551,121.6042269
20,臺北市私立慧光老人養護所,全區,10356,臺北市大同區寧夏路32號5樓、5樓之1至5樓之9,02-2558-2275,陳社工,V,25.0559779,121.5151662
24,臺北市私立文德老人長期照顧中心,全區,11468,臺北市內湖區陽光街70-2、70-3、72、72-1號1樓,02-2658-1303,許小姐,,25.0764092,121.5862251
27,臺北市私立大園老人長期照顧中心(養護型),全區,100015,臺北市中正區新生南路一段124-3號1、2、3、4樓,02-33931661,李小姐,V,25.0375332,121.5324289
28,臺北市私立仁泰老人長期照顧中心(養護型),全區,10063,臺北市中正區三愛里001鄰連雲街3號1、3樓、3之4號及三愛里001鄰新生南路1段124之3號5樓,02-33931662,葉小姐,V,25.0376327,121.5323168
31,臺北市私立晉安老人長期照顧中心(養護型),全區,10369,臺北市大同區重慶北路三段175、177號1-4樓,02-2598-2301,謝主任,,25.0690389,121.514
33,臺北市私立中山老人長期照顧中心(養護型),全區,10843,臺北市萬華區峨眉街124號、124-1號1樓,02-2375-9590,趙小姐,V,25.0445889,121.5019866
34,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),全區,11252,臺北市北投區中和街錫安路112號,02-2893-6161,游社工,,25.1417699,121.4990213
35,財團法人台北市私立愛愛院,全區,10856,臺北市萬華區大理街175巷27號,02-2306-0493 #2180,張小姐,V,25.0348821,121.4954318
37,臺北市私立全家老人長期照顧中心(養護型),全區,11284,臺北市北投區行義路96巷1號1-2樓,02-2876-1245,陳小姐,V,25.1266799,121.5288569
38,臺北市私立全寶老人長期照顧中心(養護型),全區,11267,臺北市北投區石牌路2段315巷16弄2號1樓,02-2871-0792,陳小姐,V,25.1228738,121.5222917
39,臺北市私立全泰老人長期照顧中心(養護型),全區,11284,臺北市北投區行義路105號1、2樓,02-2874-7739,陳小姐,V,25.1277887,121.5283359
41,臺北市私立健全老人長期照顧中心(養護型),全區,10643,臺北市大安區金山南路二段152號2-6樓,02-2394-3266,陸小姐,V,25.0287666,121.526127
42,國立臺灣大學醫學院附設醫院北護分院附設護理之家,全區,108206,臺北市萬華區內江街87號7、8、9樓,02-2371-7101 轉218800,林先生,V,25.0416765,121.5035547
43,臺北市私立義行老人長期照顧中心(養護型),全區,11267,臺北市北投區石牌路2段357巷1號4-6樓,02-2872-2221,陳社工,,25.1236183,121.5248901
44,臺北市政府社會局委託天主教醫療財團法人永和耕莘醫院經營管理臺北市至善老人安養護中心,全區,11149,臺北市士林區仰德大道二段2巷50號,02-2883-2666,王社工組長,,25.101902,121.5432472
46,臺北市私立行義老人長期照顧中心(養護型),全區,11267,臺北市北投區石牌路2段357巷1號1-3樓,02-2872-9599,陳社工,,25.1236183,121.5248901
47,百齡診所附設護理之家,全區,11165,臺北市士林區重慶北路4段187號,02-2811-3113,劉小姐,V,25.0843812,121.5112171
48,臺北市私立晨欣老人長期照顧中心(養護型),全區,10449,臺北市中山區中山北路2段96巷19號3樓,02-2521-2226,林先生,V,25.0598859,121.5219035
49,臺北市私立仁群老人長期照護中心(養護型),松山區、中山區、大同區,10474,臺北市中山區民族東路512巷12號1樓,02-2501-3369,沈社工員,,25.0675025,121.5419841
50,臺北市私立台大老人長期照顧中心(養護型),全區,10557,臺北市松山區敦化南路一段7號4樓之1,02-2579-2816,鄭小姐,V,25.0468646,121.5493237
51,臺北市私立群英老人長期照顧中心(養護型),全區,10557,臺北市松山區敦化南路一段7號4樓,02-2579-1400,鄭主任,V,25.0468646,121.5493237
53,臺北市私立崇順老人養護所,全區,11256,臺北市北投區關渡里知行路54號、52巷1號,02-2858-1979,鍾小姐,,25.118161,121.467469
56,臺北市私立上美老人長期照顧中心,全區,11164,臺北市士林區重慶北路4段162號1-4樓,02-2812-2366,李先生,V,25.084122,121.512167
58,臺北市私立永安老人養護所,全區,10372,臺北市大同區重慶北路3段284號、286號1~4樓,02-2598-0197,余小姐,V,25.0731305,121.5135814
62,臺北市立聯合醫院附設中興住宿長照機構(全齡喘息),全區,10341,臺北市大同區鄭州路145號10樓C區,(02)2552-3234#1053,陳小姐,V,25.0513086,121.5087132
63,臺北市私立榮祥老人長期照顧中心(養護型),全區,11287,臺北市北投區文林里019鄰文林北路166巷5弄2號1~2樓、4號1樓,02-2821-3709,蔡社工師,V,25.1071757,121.5162582
64,臺北市政府社會局委託佳醫長照社團法人經營管理臺北市兆如老人安養護中心,全區,116016,臺北市文山區政大二街129號,02-2936-2188 轉3106,劉小姐,V,24.9892314,121.5839877
65,詠馨長照社團法人附設台北市私立詠馨住宿長照機構,全區,11243,臺北市北投區幽雅路19號1-4樓,02-2890-8050,謝小姐,V,25.1366207,121.5143597
66,臺北市立萬芳醫院-委託臺北醫學大學辦理附設護理之家,全區,116079,臺北市文山區興隆路三段111號12樓,02-2930-7930 轉52901,黃小姐,V,24.999901,121.55814