序號,機構名稱,開放床數,立案日期,評鑑資訊,地址,電話,lat,lon
1,臺北市政府衛生局附設臺北市東明住宿長照機構(委託財團法人台北市私立愛愛院經營管理),46,109.5.29,110年度評鑑合格,臺北市南港區南港路二段60巷17號2樓,02-26519808,25.0546551,121.6042269
2,臺北市立奇岩長青住宿長照機構(委託社團法人中華民國士林靈糧堂社會福利協會經營管理),43,110.1.15,111年度評鑑合格,臺北市北投區三合街一段119號2-3樓,02-28921033,25.1263292,121.5039805
3,臺北市立聯合醫院附設中興住宿長照機構,68,110.2.17,111年度評鑑合格,臺北市大同區鄭州路145號10樓C區,02-25523234轉分機1056,25.0513086,121.5087132
4,力麗長青長照社團法人附設台北市私立樂活住宿長照機構,59,110.11.16,111年度評鑑合格,臺北市萬華區環河南路二段278號2-5樓,02-23082996,25.0324215,121.4912141
5,詠馨長照社團法人附設台北市私立詠馨住宿長照機構,178,110.12.28,111年度評鑑合格,臺北市北投區幽雅路19號1-4樓,02-28908050,25.1366207,121.5143597
6,劉秀娥長照社團法人附設臺北市私立宜恩住宿長照機構,82,111.4.25,112年度評鑑合格,臺北市中山區伊通街28號1-7樓,02-25185855,25.0507392,121.5346349
7,衛生福利部基隆醫院附設南港綜合長照機構,住宿式71床 社區式16人,111.9.28,112年度評鑑合格,臺北市南港區南港路2段78號3-5樓,02-27891722轉分機411、412,25.0538706,121.6034157
8,臺北市立信義廣慈住宿長照機構(委託臺北市立聯合醫院忠孝院區經營管理),62,112.1.17,113年度評鑑合格,臺北市信義區大道路116號3-5樓,02-87261105,25.0385914,121.5830385
9,臺北市立廣智住宿長照機構(委託財團法人天主教失智老人社會福利基金會經營管理),12,112.8.31,* 尚未評鑑,臺北市信義區大道路110號2樓,02-2304-6716轉分機107,25.0391503,121.582472
10,臺北市立行愛住宿長照機構(委託臺北醫學大學經營管理),60,113.2.29,* 尚未評鑑,臺北市內湖區行善路250號1-2樓,02-27963886轉分機611,25.0602385,121.5811914
11,臺北市立興岩住宿長照機構(委託臺北市立聯合醫院仁愛院區經營管理),46,113.7.11,* 尚未評鑑,臺北市文山區興隆路二段88號2樓之2,02-27367276,25.0003102,121.5488652