序號,機構名稱,地址,電話,lat,lon
1,臺北市立聯合醫院附設和平婦幼居家護理所,臺北市中正區中華路二段33號,02-23889595,25.0353371,121.5072019
2,永安居家護理所,臺北市中正區福洲街11號10樓22,02-23711959,25.0421407,121.5198716
3,泰安居家護理所,臺北市中正區泉州街14-1號,02-25375633,25.0272147,121.5143358
4,惠馨居家護理所,臺北市中正區溪口街一段85號8樓23,0937-006-994,25.0421407,121.5198716
5,德馨居家護理所,臺北市大門區重慶北路35號25巷2號5樓,0921-460818,25.0550665,121.5143814
6,臺北市立聯合醫院附設中興居家護理所,臺北市大門區鄭州路145號,02-25523234,25.0513786,121.5092691
7,承德居家護理所,臺北市大門區承德路一段17號7樓29,02-25557985,25.0502581,121.5174576
8,共護家居家護理所,臺北市大門區西寧北路86巷9號2樓21,0933-875142,25.0552695,121.5086077
9,吉馨安居家護理所,臺北市大門區甘州街51號4樓,0921-066248,25.0596329,121.5128815
10,迎和居家護理所,臺北市中山區新生北路3段34號8樓24,0965-250760,25.0639421,121.5273572
11,凱琳居家護理所,臺北市中山區敬業一路69巷57號7樓21,0975-803933,25.0820713,121.5524671
12,溫邨家居家護理所,臺北市中山區新生北路一段72巷23號1樓,02-27546526,25.0470694,121.5303393
13,臺北市立聯合醫院附設林森中醫居家護理所,臺北市中山區林森北路530號6樓,02-25916681,25.0635091,121.5254499
14,安欣居家護理所,臺北市中山區松江路50號3樓,02-25372586,25.048168,121.5327222
15,台灣基督教老教會馬僧蘭療財團法人附設馬僧居家護理所,臺北市中山區中山北路二段96巷9號1-3樓,02-23433535,25.0598963,121.5222511
16,博仁綜合醫院附設居家護理所,臺北市松山區光復北路66號6樓,02-25782518,25.0499703,121.5575603
17,三軍總醫院松山分院附設民眾診療服務處附設居家護理所,臺北市松山區健康路131號,02-27642151,25.0550907,121.5582183
18,基督徒臨安息日會醫療財團法人附設愛安居家護理所,臺北市松山區八德路2段400號5樓,02-27718151#2777,25.0480219,121.5465029
19,國泰醫療財團法人附設居家護理所,臺北市大安區仁愛路四段376號11樓,02-27082121#3956,25.0373449,121.5558369
20,臺北市立聯合醫院附設仁愛居家護理所,臺北市大安區仁愛路四段十號,02-27093600,25.0376461,121.55097
21,財團法人奧明護理展望基金會大台北居家護理所,臺北市大安區和平東路一段2 1 6 號十樓,02-23646040,25.0267596,121.5229719
22,高康居家護理所,臺北市萬華區和平西路二段396號1樓105室,02-23080680,25.0337509,121.5050173
23,國立臺灣大學醫學院附設醫院北護分院附設居家護理所,臺北市萬華區康定路37號,02-23717101,25.0421534,121.5026284
24,同仁院醫療財團法人附設居家護理所,臺北市萬華區中華路2段606巷6號6樓,02-23059292#303,25.0240418,121.5097291
25,財團法人臺灣省私立臺北仁濟院附設仁濟醫院附設居家護理所,臺北市萬華區廣州街243號,02-23021133,25.0369185,121.49802
26,愛吾愛居家護理所,臺北市萬華區大理街171-1號2樓208室,02-23087286,25.0340134,121.4949486
27,信慈居家護理所,臺北市信義區忠孝東路5段410號7樓,02-87803099,25.0406521,121.5652968
28,財團法人私立台北醫學大學附設醫院附設居家護理所,臺北市信義區莊敬路330號5樓,02-39383944,25.0278822,121.5635651
29,新光醫療財團法人附設新光居家護理所,臺北市土林區文昌路95號,02-28332211#2600,25.0961018,121.5202285
30,臺北市立聯合醫院附設陽明居家護理所,臺北市土林區南營街105號6樓,02-28353456#6306,25.0950492,121.5246077
31,宜寧居家護理所,臺北市土林區承德路4段235號9樓,02-28822382,25.0885185,121.5220945
32,全佳居家護理所,臺北市北投區中和街40號6樓2245,02-28962900,25.1382089,121.5027656
33,育幸福居家護理所,臺北市北投區大同街301號,02-28958590,25.1398552,121.4992362
34,振興醫療財團法人附設振興居家護理所,臺北市北投區振興街45號,02-28264000#6030,25.1161524,121.5223697
35,稻香居家護理所(委託臺北榮民總醫院經營管理),臺北市北投區稻香路81號6樓,02-28958575,25.1409914,121.4893656
36,臺北市立聯合醫院、委託臺北榮民總醫院經營附設居家護理所,臺北市北投區和平路225巷12號,02-28587163,25.1365385,121.4950334
37,臺北榮民總醫院附設居家護理所,臺北市北投區石牌路二段322號致德樓D2,02-28712121,25.1200365,121.5232072
38,好建居家護理所,臺北市內湖區民權東路6段266號6樓,0907-358588,25.0716657,121.6048156
39,成功居家護理所,臺北市內湖區大湖山莊街219巷34弄1號2樓,02-27967357,25.089515,121.599625
40,康健居家護理所,臺北市內湖區民權東路6段180巷6號6樓,0921-248200,25.0688364,121.5928053
41,康寧醫療財團法人附設康寧居家護理所,臺北市內湖區成功路五段420巷26號2樓,02-26345500,25.0758907,121.6089476
42,三軍總醫院附設民眾診療服務處附設居家護理所,臺北市內湖區成功路二段325號,02-87927056,25.071737,121.5946509
43,新聯電居家護理所,臺北市內湖區民權東路6段123巷18號4樓,02-87928255,25.069462,121.5926879
44,全心居家護理所,臺北市內湖區石潭路27號3樓,02-27956926,25.0627923,121.5860883
45,臺北市獨立型聽成福居家護理所,臺北市南港區成福路204號4樓,02-27863412,25.0405194,121.5885557
46,臺北市立聯合醫院附設忠孝居家護理所,臺北市南港區同德路8 7 號,02-27861288,25.0451811,121.5840355
47,臺北市獨立型聽南港居家護理所,臺北市南港區福德街373巷39號1樓,02-27856997,25.0391492,121.5917014
48,前瞻居家護理所,臺北市文山區辛亥路4段21巷10號9樓A室,02-89312546,25.0085063,121.5590379
49,景美醫院附設居家護理,臺北市文山區萬慶街13巷9號1樓,02-29331010,24.9919977,121.5399537
50,臺北市立萬芳醫院—委託臺北醫學大學辦理附設居家護理所,臺北市文山區萬美街一段25號B1,02-29307930,25.002099,121.5693065
51,北斗星居家護理所,臺北市文山區景文街42號3樓312R,02-86638637,24.9917496,121.5412001
